src_ip,dst_ip,src_port,dst_port,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
245.234.7.168,173.136.22.217,24245,6810,2023/12/22 17:45,4008741,41.90841963,0.997819515,0.997819515,0,4,0,168,0,42,42,42,0,0,0,0,0,42,42,42,0,0,32,0,8,0,1336247,4008741,0,1889738.63,4008741,4008741,0,1336247,1889738.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,4,0,168,0
245.234.7.168,119.129.141.5,24245,40724,2023/12/22 17:46,6015170,41.89407781,0.997478043,0.997478043,0,6,0,252,0,42,42,42,0,0,0,0,0,42,42,42,0,0,48,0,8,0,1203034,4010380,0,1604112.007,6015170,4010380,0,1203034,1604112.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,4010380,2004790,3007585,1002795,0,0,0,0,0,0,42,0,0,6,0,252,0
245.234.7.168,175.92.36.243,24245,43872,2023/12/22 17:46,51800,1621.621622,38.61003861,19.30501931,19.30501931,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.160,173.32.149.129,15374,64637,2023/12/22 17:46,55772,4518.396328,107.580865,53.79043248,53.79043248,3,3,126,126,42,42,42,0,42,42,42,0,42,42,42,0,0,24,24,8,0,11154.4,55772,0,22308.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,3,3,126,126
245.234.7.168,168.247.186.3,24245,54059,2023/12/22 17:47,6041923,20.85428762,0.496530658,0.496530658,0,3,0,126,0,42,42,42,0,0,0,0,0,42,42,42,0,0,24,0,8,0,3020961.5,4043918,1998005,1022956.5,6041923,4043918,1998005,3020961.5,1022956.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2045913,1998005,2021959,23954,0,0,0,0,0,0,42,0,0,3,0,126,0
245.234.7.168,180.198.110.66,24245,63302,2023/12/22 17:47,6043010,20.8505364,0.496441343,0.496441343,0,3,0,126,0,42,42,42,0,0,0,0,0,42,42,42,0,0,24,0,8,0,3021505,4040044,2002966,1018539,6043010,4040044,2002966,3021505,1018539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2037078,2002966,2020022,17056,0,0,0,0,0,0,42,0,0,3,0,126,0
245.234.7.160,179.30.22.91,15374,6742,2023/12/22 17:47,197228,2129.515079,50.70273998,25.35136999,25.35136999,5,5,210,210,42,42,42,0,42,42,42,0,42,42,42,0,0,40,40,8,0,21914.22222,197228,0,61982.78055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,5,5,210,210
245.234.7.160,46.106.34.183,15374,11328,2023/12/22 17:47,328194,767.8385345,18.28186987,9.140934935,9.140934935,3,3,126,126,42,42,42,0,42,42,42,0,42,42,42,0,0,24,24,8,0,65638.8,328194,0,131277.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,3,3,126,126
245.234.7.168,162.73.209.89,24245,53553,2023/12/22 17:47,58924,4276.695404,101.8260811,50.91304053,50.91304053,3,3,126,126,42,42,42,0,42,42,42,0,42,42,42,0,0,24,24,8,0,11784.8,58924,0,23569.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,3,3,126,126
245.234.7.168,191.1.66.204,24245,51442,2023/12/22 17:48,107077,784.4821951,18.6781475,9.339073751,9.339073751,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.50,40.170.249.45,57850,995,2023/12/22 17:48,1081935,2253.370119,34.19798786,17.5611289,16.63685896,19,18,1266,1172,78,66,66.63157895,2.679562539,74,54,65.11111111,4.331908598,78,54,65.89189189,3.659742893,13.39371804,380,360,20,0,30053.75,702926,3,114980.9572,1063144,719785,3,59063.55556,162187.9392,1065966,702926,13,62703.88235,162362.6497,0,0,0,0,1,0,0,0,0,0,0,0.947368421,65.89189189,65535,0,702541,15388,115822.375,222344.7358,686423,6440,85941.54545,190581.8574,0,0,0,0,0,0,66.63157895,65.11111111,0,19,18,1266,1172
245.234.7.145,128.193.40.195,1872,53772,2023/12/22 17:48,1104976,405.4386702,7.239976253,4.524985158,2.714991095,5,3,278,170,62,54,55.6,3.2,62,54,56.66666667,3.771236166,62,54,56,3.464101615,12,100,60,20,0,157853.7143,368823,3,181994.0171,738103,369036,3,184525.75,184312.8627,736153,368944,367209,368076.5,867.5,0,0,0,0,1,0,0,0,0,0,0,0.6,56,65535,65467,368400,368305,368352.5,47.5,368823,366870,367859.3333,797.5154474,0,0,0,0,0,0,55.6,56.66666667,0,5,3,278,170
245.234.7.145,165.251.207.16,1876,55648,2023/12/22 17:48,2602705,234.3715481,4.226372178,2.305293915,1.921078263,6,5,332,278,62,54,55.33333333,2.98142397,62,54,55.6,3.2,62,54,55.45454545,3.085556863,9.520661157,120,100,20,0,260270.5,809202,280,315878.3941,2172750,809562,356,434550,357311.7361,1793503,774634,1888,448375.75,285162.7472,0,0,0,0,1,0,0,0,0,0,0,0.833333333,55.45454545,65535,16917,808846,508606,671460.6667,123888.4703,809202,429675,611084.25,134982.7397,0,0,0,0,0,0,55.33333333,55.6,0,6,5,332,278
245.234.7.168,189.81.241.69,24245,47056,2023/12/22 17:48,6041759,20.85485369,0.496544136,0.496544136,0,3,0,126,0,42,42,42,0,0,0,0,0,42,42,42,0,0,24,0,8,0,3020879.5,4036165,2005594,1015285.5,6041759,4036165,2005594,3020879.5,1015285.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2030571,2005594,2018082.5,12488.5,0,0,0,0,0,0,42,0,0,3,0,126,0
245.234.7.161,40.170.249.54,57301,80,2023/12/22 17:48,598865,6535.696693,98.51969977,33.3965084,65.12319137,20,39,1332,2582,78,66,66.6,2.615339366,74,66,66.20512821,1.26449518,78,66,66.33898305,1.846757759,3.41051422,400,780,20,0,10325.25862,477719,1,62093.71234,598865,496208,1,31519.21053,109813.8373,576739,477719,12,15177.34211,76297.90458,0,0,0,0,1,0,0,0,0,0,0,1.95,66.33898305,65535,14,477293,12671,107639.4,184841.5524,461493,9250,79008.14286,156173.0053,0,0,0,0,0,0,66.6,66.20512821,0,20,39,1332,2582
245.234.7.161,168.253.219.81,57310,45989,2023/12/22 17:48,69336299,48.89213945,0.735545461,0.4326738,0.30287166,30,21,1992,1398,78,66,66.4,2.154065923,78,66,66.57142857,2.55550626,78,66,66.47058824,2.329292926,5.425605536,600,420,20,0,1386725.98,36894314,419,5838058.82,69336299,36894314,419,2390906.862,7509079.249,69161075,37206222,9621,3458053.75,8955303.034,0,0,0,0,1,0,0,0,0,0,0,0.7,66.47058824,65535,17520,36893126,7380,3148556.211,9034318.796,36893296,7371,3218771.381,8677408.238,0,0,0,0,0,0,66.4,66.57142857,0,30,21,1992,1398
245.234.7.161,128.38.14.71,37779,29390,2023/12/22 17:48,506358,331.7810719,7.899549331,3.949774665,3.949774665,2,2,84,84,42,42,42,0,42,42,42,0,42,42,42,0,0,16,16,8,0,168786,176824,161358,6328.684118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,161358,15466,88412,72946,0,0,0,0,0,0,42,42,0,2,2,84,84
245.234.7.161,33.145.213.165,37779,43919,2023/12/22 17:48,509778,329.5552182,7.846552813,3.923276407,3.923276407,2,2,84,84,42,42,42,0,42,42,42,0,42,42,42,0,0,16,16,8,0,169926,187967,159269,12826.70113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,159269,28698,93983.5,65285.5,0,0,0,0,0,0,42,42,0,2,2,84,84
245.234.7.161,167.206.155.129,37779,10349,2023/12/22 17:48,216481,776.0496302,18.47737215,9.238686074,9.238686074,2,2,84,84,42,42,42,0,42,42,42,0,42,42,42,0,0,16,16,8,0,72160.33333,99399,58048,19264.85177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,59034,40365,49699.5,9334.5,0,0,0,0,0,0,42,42,0,2,2,84,84
245.234.7.161,59.204.175.157,37779,50235,2023/12/22 17:48,379397,221.4039647,5.271522969,2.635761485,2.635761485,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,95.28.122.15,37779,41354,2023/12/22 17:48,153856,545.9650582,12.99916805,6.499584027,6.499584027,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,188.145.109.69,37779,8488,2023/12/22 17:48,145295,578.1341409,13.76509859,6.882549296,6.882549296,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,187.205.141.77,37779,16774,2023/12/22 17:48,305719,549.5242363,13.08391039,6.541955194,6.541955194,2,2,84,84,42,42,42,0,42,42,42,0,42,42,42,0,0,16,16,8,0,101906.3333,151765,6250,67659.55715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,151765,141454,146609.5,5155.5,0,0,0,0,0,0,42,42,0,2,2,84,84
245.234.7.161,185.115.146.196,37779,10018,2023/12/22 17:48,166904,503.2833245,11.9829363,5.991468149,5.991468149,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,178.176.65.9,37779,51645,2023/12/22 17:48,89712,936.329588,22.29356162,11.14678081,11.14678081,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,166.82.110.227,37779,41008,2023/12/22 17:48,6026844,20.90646448,0.497772964,0.497772964,0,3,0,126,0,42,42,42,0,0,0,0,0,42,42,42,0,0,24,0,8,0,3013422,4034525,1992319,1021103,6026844,4034525,1992319,3013422,1021103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2042206,1992319,2017262.5,24943.5,0,0,0,0,0,0,42,0,0,3,0,126,0
245.234.7.161,173.52.226.197,37779,57299,2023/12/22 17:48,49670,1691.161667,40.26575398,20.13287699,20.13287699,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,117.83.31.134,37779,29661,2023/12/22 17:48,258557,324.8800071,7.735238265,3.867619132,3.867619132,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,173.37.32.208,37779,45174,2023/12/22 17:48,202027,415.7860088,9.899666876,4.949833438,4.949833438,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,173.37.194.189,37779,19679,2023/12/22 17:48,6050943,20.82320062,0.495790491,0.495790491,0,3,0,126,0,42,42,42,0,0,0,0,0,42,42,42,0,0,24,0,8,0,3025471.5,4038733,2012210,1013261.5,6050943,4038733,2012210,3025471.5,1013261.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2026523,2012210,2019366.5,7156.5,0,0,0,0,0,0,42,0,0,3,0,126,0
245.234.7.161,173.38.206.163,37779,30305,2023/12/22 17:48,80538,1042.98592,24.83299809,12.41649904,12.41649904,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,108.190.44.197,37779,6046,2023/12/22 17:48,6035057,20.87801325,0.497095554,0.497095554,0,3,0,126,0,42,42,42,0,0,0,0,0,42,42,42,0,0,24,0,8,0,3017528.5,4038734,1996323,1021205.5,6035057,4038734,1996323,3017528.5,1021205.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2042411,1996323,2019367,23044,0,0,0,0,0,0,42,0,0,3,0,126,0
245.234.7.161,221.203.133.162,37779,61128,2023/12/22 17:48,30019,2798.227789,66.62447117,33.31223558,33.31223558,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,168.49.252.133,37779,8322,2023/12/22 17:48,6071942,20.75118636,0.494075866,0.494075866,0,3,0,126,0,42,42,42,0,0,0,0,0,42,42,42,0,0,24,0,8,0,3035971,4034785,2037157,998814,6071942,4034785,2037157,3035971,998814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2037157,1997628,2017392.5,19764.5,0,0,0,0,0,0,42,0,0,3,0,126,0
245.234.7.161,179.2.195.99,37779,23061,2023/12/22 17:48,6034305,20.88061508,0.497157502,0.497157502,0,3,0,126,0,42,42,42,0,0,0,0,0,42,42,42,0,0,24,0,8,0,3017152.5,4035187,1999118,1018034.5,6034305,4035187,1999118,3017152.5,1018034.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2036069,1999118,2017593.5,18475.5,0,0,0,0,0,0,42,0,0,3,0,126,0
245.234.7.161,47.52.163.193,37779,19627,2023/12/22 17:48,213312,1575.157516,37.50375038,18.75187519,18.75187519,4,4,168,168,42,42,42,0,42,42,42,0,42,42,42,0,0,32,32,8,0,30473.14286,139980,0,50703.28082,143383,143383,0,47794.33333,67591.3944,73332,73332,0,24444,34569.03632,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,139980,69929,104954.5,35025.5,0,0,0,0,0,0,42,42,0,4,4,168,168
245.234.7.161,180.144.143.200,37779,54317,2023/12/22 17:48,6034290,41.76133398,0.994317476,0.994317476,0,6,0,252,0,42,42,42,0,0,0,0,0,42,42,42,0,0,48,0,8,0,1206858,4035590,0,1612343.461,6034290,4035590,0,1206858,1612343.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,4035590,1998700,3017145,1018445,0,0,0,0,0,0,42,0,0,6,0,252,0
